[Time,Iteration#,Particle#] Sw(Measured) Sw(Predicted) Diff Sw_Variance

[0.5,0,0] 0.4  0.548219  -0.148219  0.0620564
[0.5,0,1] 0  0.753559  -0.753559  0.00148311

[0.5,1,0] 0.4  0.535763  -0.135763  0.066137
[0.5,1,1] 0  0.754734  -0.754734  0.00146271

[0.5,2,0] 0.4  0.524252  -0.124252  0.0697362
[0.5,2,1] 0  0.755771  -0.755771  0.00144468

[0.5,3,0] 0.4  0.513806  -0.113806  0.0728267
[0.5,3,1] 0  0.75669  -0.75669  0.00142864

[0.5,4,0] 0.4  0.503308  -0.103308  0.0759199
[0.5,4,1] 0  0.757509  -0.757509  0.00141427

[0.5,5,0] 0.4  0.495266  -0.0952656  0.0779716
[0.5,5,1] 0  0.758234  -0.758234  0.00140145

[0.5,6,0] 0.4  0.485972  -0.0859717  0.0805267
[0.5,6,1] 0  0.758889  -0.758889  0.00138978

[0.5,7,0] 0.4  0.479405  -0.079405  0.0820967
[0.5,7,1] 0  0.759469  -0.759469  0.00137932

[0.5,8,0] 0.4  0.47278  -0.0727801  0.0836331
[0.5,8,1] 0  0.759997  -0.759997  0.00136969

[0.5,9,0] 0.4  0.467554  -0.0675544  0.084682
[0.5,9,1] 0  0.760475  -0.760475  0.00136088

[0.5,10,0] 0.4  0.461014  -0.0610141  0.0862075
[0.5,10,1] 0  0.760914  -0.760914  0.00135271

[0.5,11,0] 0.4  0.455906  -0.0559056  0.087261
[0.5,11,1] 0  0.761305  -0.761305  0.00134528

[0.5,12,0] 0.4  0.452249  -0.0522487  0.0878588
[0.5,12,1] 0  0.76166  -0.76166  0.00133843

[0.5,13,0] 0.4  0.447227  -0.0472273  0.0889133
[0.5,13,1] 0  0.761989  -0.761989  0.00133199

[0.5,14,0] 0.4  0.443679  -0.0436785  0.089527
[0.5,14,1] 0  0.762284  -0.762284  0.00132608

[0.5,15,0] 0.4  0.440173  -0.0401732  0.0901471
[0.5,15,1] 0  0.762556  -0.762556  0.00132055

[0.5,16,0] 0.4  0.43671  -0.0367095  0.0907733
[0.5,16,1] 0  0.762804  -0.762804  0.00131538

[0.5,17,0] 0.4  0.434738  -0.0347376  0.0909836
[0.5,17,1] 0  0.763029  -0.763029  0.00131056

[0.5,18,0] 0.4  0.431339  -0.0313386  0.0916191
[0.5,18,1] 0  0.763242  -0.763242  0.00130596

[0.5,19,0] 0.4  0.429443  -0.0294426  0.0918499
[0.5,19,1] 0  0.763433  -0.763433  0.00130168

[0.5,20,0] 0.4  0.427573  -0.0275732  0.0920879
[0.5,20,1] 0  0.763612  -0.763612  0.00129759

[0.5,21,0] 0.4  0.42573  -0.0257298  0.0923331
[0.5,21,1] 0  0.76378  -0.76378  0.0012937

[0.5,22,0] 0.4  0.423911  -0.0239113  0.0925853
[0.5,22,1] 0  0.763935  -0.763935  0.00128999

[0.5,23,0] 0.4  0.422117  -0.0221172  0.0928443
[0.5,23,1] 0  0.76408  -0.76408  0.00128645

[0.5,24,0] 0.4  0.420347  -0.0203466  0.0931101
[0.5,24,1] 0  0.764214  -0.764214  0.00128309

[0.5,25,0] 0.4  0.420086  -0.020086  0.0929941
[0.5,25,1] 0  0.764337  -0.764337  0.00127989

[0.5,26,0] 0.4  0.418343  -0.0183428  0.0932677
[0.5,26,1] 0  0.764458  -0.764458  0.00127674

[0.5,27,0] 0.4  0.418113  -0.0181125  0.0931639
[0.5,27,1] 0  0.764568  -0.764568  0.00127374

[0.5,28,0] 0.4  0.416395  -0.0163951  0.0934449
[0.5,28,1] 0  0.764677  -0.764677  0.00127079

[0.5,29,0] 0.4  0.416194  -0.016194  0.0933531
[0.5,29,1] 0  0.764776  -0.764776  0.00126799

[0.5,30,0] 0.4  0.414501  -0.0145009  0.0936411
[0.5,30,1] 0  0.764874  -0.764874  0.00126523

[0.5,31,0] 0.4  0.414328  -0.0143276  0.0935608
[0.5,31,1] 0  0.764961  -0.764961  0.00126261

[0.5,32,0] 0.4  0.414157  -0.0141566  0.0934816
[0.5,32,1] 0  0.765048  -0.765048  0.00126003

[0.5,33,0] 0.4  0.412489  -0.0124892  0.093777
[0.5,33,1] 0  0.765133  -0.765133  0.00125749

