xp yp distance tau_avg0tran tau_avg2tran tau_vartran tau_avg0carte tau_avg2carte tau_varcarte  tau_avg0 tau_avg2 tau_var

 0.046958090  0.125000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.073092811  0.250000000  0.127702872  0.003688542  0.003649475  0.000000405  0.004464942  0.002550184  0.000000152  0.000000000  0.003268632  0.000000000 
 0.099212373  0.375000000  0.255402644  0.009027046  0.008889470  0.000003456  0.008529315  0.006901392  0.000002139  0.000000000  0.008025172  0.000000000 
 0.124123613  0.500000000  0.382860754  0.016000681  0.015735154  0.000014348  0.008749683  0.014012814  0.000014477  0.000000000  0.014379413  0.000000000 
 0.125000000  0.505278392  0.388211405  0.016331186  0.016062121  0.000015130  0.008749683  0.014346269  0.000015295  0.000000000  0.014711507  0.000000000 
 0.151804498  0.625000000  0.510896957  0.025211693  0.025370744  0.000038626  0.036588063  0.026899289  0.000098410  0.000000000  0.024907777 15.118593071 
 0.177789401  0.750000000  0.638569253  0.036369229  0.037573951  0.000083396  0.062395671  0.042506595  0.000248218  0.000000000  0.036718620 13.522453624 
 0.203777127  0.875000000  0.766242124  0.048861184  0.051394651  0.000162785  0.081782169  0.061075960  0.000482949  0.000000000  0.050113338 12.028407260 
 0.231463803  1.000000000  0.894271621  0.062816512  0.067009611  0.000287904  0.090349573  0.083089448  0.000857186  0.000000000  0.065239241 10.603575174 
 0.250000000  1.077799407  0.974248732  0.072328081  0.077744720  0.000396367  0.090349573  0.098922652  0.001169410  0.000000000  0.075857003  9.662549449 
 0.263348991  1.125000000  1.023300659  0.078652136  0.084857425  0.000469210  0.138828903  0.110399056  0.001427572  0.000000000  0.086966920  7.427424290 
 0.299571548  1.250000000  1.153443172  0.096904461  0.105197829  0.000705936  0.172606372  0.140260642  0.002260578  0.000000000  0.107063093  6.641123538 
 0.340629985  1.375000000  1.285013667  0.116952753  0.127524270  0.001051904  0.187969823  0.172690283  0.003415002  0.000000000  0.129144427  5.853986949 
 0.375000000  1.465047267  1.381397318  0.132857050  0.145331481  0.001383235  0.187969823  0.198841821  0.004545991  0.000000000  0.146958794  5.298510364 
 0.390493543  1.500000000  1.419630072  0.139548123  0.152818376  0.001526782  0.232157419  0.210004365  0.005068295  0.000000000  0.156749846  4.786179727 
 0.450810834  1.625000000  1.558421914  0.165380430  0.181339202  0.002143777  0.251393838  0.251014109  0.007295885  0.000000000  0.185615450  4.168496580 
 0.500000000  1.710424881  1.656996679  0.185000372  0.202999429  0.002707281  0.251393838  0.284309256  0.009588067  0.000000000  0.207898624  3.883388086 
 0.526953582  1.750000000  1.704878676  0.194988135  0.214034564  0.003012539  0.285658332  0.301481894  0.010906517  0.000000000  0.221289641  3.672945716 
 0.625000000  1.874648920  1.863467621  0.229515301  0.251716200  0.004222246  0.285658332  0.361379206  0.016412864  0.000000000  0.260606785  3.316541346 
 0.625335943  1.875000000  1.863953537  0.229624925  0.251836356  0.004226424  0.324576074  0.361578489  0.016433293  0.000000000  0.260745509  3.431472768 
 0.687500000  1.937500000  1.952104658  0.249928503  0.274138211  0.005020104  0.343688756  0.397988306  0.020288338  0.000000000  0.285451320  3.168789891 

 0.125000000  0.032231843  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000 
 0.250000000  0.056294896  0.127295053  0.004385111  0.004320073  0.000000764  0.000000000  0.005021911  0.000001299  0.000000000  0.003615137  0.000000000 
 0.375000000  0.085067893  0.255563854  0.011388793  0.011120844  0.000007035  0.000000000  0.013779182  0.000012915  0.000000000  0.009654191  0.000003476 
 0.500000000  0.116205465  0.384383683  0.021402771  0.020789737  0.000032541  0.000000000  0.027206750  0.000058348  0.000000000  0.018535850  0.000014444 
 0.540669029  0.125000000  0.425992742  0.025340829  0.024632870  0.000050209  0.009365341  0.032493014  0.000087134  0.000000000  0.022400316  0.000015287 
 0.625000000  0.150545287  0.514107862  0.035253366  0.035167559  0.000105819  0.009365341  0.044846082  0.000162933  0.000000000  0.033651333  0.000038954 
 0.750000000  0.184669034  0.643681895  0.053140146  0.055447093  0.000262058  0.009365341  0.068290078  0.000355367  0.000000000  0.053314901  0.000084204 
 0.875000000  0.218315421  0.773131033  0.074266589  0.079895398  0.000575272  0.009365341  0.098417399  0.000743417  0.000000000  0.077238873  0.000164550 
 0.992907322  0.250000000  0.895221365  0.097223585  0.107034903  0.001083889  0.010855989  0.132869650  0.001389396  0.000000000  0.104004821  0.000291331 
 1.000000000  0.252331827  0.902687522  0.098770018  0.108866379  0.001121088  0.010855989  0.133684037  0.001434136  0.000000000  0.106669414  0.000400278 
 1.125000000  0.289148274  1.032996581  0.128329184  0.143671664  0.001942455  0.010855989  0.150804708  0.002365322  0.000000000  0.141192249  0.000475183 
 1.250000000  0.327479864  1.163741794  0.161385206  0.182902652  0.003251380  0.010855989  0.199910031  0.003872650  0.000000000  0.180384759  0.000715741 
 1.375000000  0.368944081  1.295439483  0.198239252  0.227159336  0.005175080  0.010855989  0.257146692  0.006149431  0.000000000  0.224655457  0.001067393 
 1.392835344  0.375000000  1.314274919  0.203833918  0.234001543  0.005510352  0.046555642  0.265758258  0.006552872  0.000000000  0.231744278  0.001402235 
 1.500000000  0.417061360  1.429398424  0.240268067  0.278362565  0.007865835  0.046555642  0.318233528  0.009229195  0.000000000  0.296999244  0.001550188 
 1.625000000  0.473221669  1.566434844  0.287805842  0.335187046  0.011573875  0.046555642  0.388809811  0.013316209  0.000000000  0.354824325  0.002178135 
 1.677575833  0.500000000  1.625437363  0.309514046  0.361386358  0.013547289  0.078467026  0.422076023  0.015532456  0.000000000  0.382245740  0.002749968 
 1.750000000  0.542514119  1.709417779  0.341799818  0.400261545  0.016688131  0.078467026  0.469514283  0.018875526  0.000000000  0.432975222  0.003062232 
 1.866782112  0.625000000  1.852393240  0.399475740  0.468633476  0.023161265  0.082832010  0.556619155  0.025601411  0.000000000  0.504497697  0.004292490 
